date,mean_pressure,temp_max,temp_mean,temp_min,dew_point,humidity,cloud,rainfall,sunshine,wind_dir,wind_speed
2017-01-01,1021.7,20.8,19.2,18.4,15.6,80,72,0,4.6,60,34.2
2017-01-02,1020.2,23.3,20.2,18.4,16.7,81,28,0,9.3,70,17.6
2017-01-03,1019.8,21.3,20,18.9,17.1,83,56,0,3.8,70,26.1
2017-01-04,1018.7,21.7,19.9,18.7,16.3,80,51,0,6.3,70,27.7
2017-01-05,1016.9,23.4,21.1,18.9,17.5,80,61,0,1.7,40,14.3
2017-01-06,1015.1,25,21.6,19.7,17.8,80,43,0,9.1,40,20
2017-01-07,1013.9,22.8,21.1,19.7,17.3,79,68,0,7.3,60,20.8
2017-01-08,1013.4,25.5,22.6,20.5,18.1,76,50,0,8.2,30,6.8
2017-01-09,1016.3,21.8,20.6,19.7,16.7,78,66,0,3.1,70,23.3
2017-01-10,1018.1,20.5,19.4,18.8,15.7,79,72,0,5.9,70,36.6
2017-01-11,1018.1,19.7,19.1,18.2,15.4,80,86,0,1.7,70,37.8
2017-01-12,1015.5,20.3,19,16.9,15.7,81,93,Trace,0,70,28
2017-01-13,1015.7,17.1,15.9,15.1,13.1,84,88,0.5,0,10,22.9
2017-01-14,1017.9,16.5,15.7,14.5,13.5,87,92,1,0,50,29.7
2017-01-15,1020.5,16.8,15.5,14.3,13,85,100,1.5,0,20,29.3
2017-01-16,1020.4,17.4,16.3,14.7,12.9,80,93,0.4,1.5,70,35.5
2017-01-17,1021.1,19.2,18,16.7,13.7,76,88,0,1.9,70,37.3
2017-01-18,1021.2,20,18.9,18,16.5,86,88,Trace,0,60,24.2
2017-01-19,1020.1,24.1,20.4,18.7,17.6,85,76,0,6.9,60,12.8
2017-01-20,1022.4,20.6,18.3,16.2,12.3,69,51,Trace,9.7,10,26.9
2017-01-21,1025.3,19,16.7,14.6,10.6,67,35,0,8.1,20,20.1
2017-01-22,1026.1,19.8,16.4,13.6,7.9,58,9,0,9.8,20,18.8
2017-01-23,1025.7,19.4,16.8,15.2,11.4,71,61,0,8.3,70,33
2017-01-24,1025.4,18.9,17,15.7,11.9,72,79,0,7.1,70,43
